rang;id;nom;adresse;lien;annotateur_1;etiquette_1;confiance_1;annotateur_2;etiquette_2;confiance_2;arbitrage;presse_locale;guide_touristique;remarque
138;osm_n13100725303;Casimodo;71 Quai de la Tournelle, 75005 Paris;https://www.google.com/maps/search/Casimodo+71+Quai+de+la+Tournelle%2C+75005+Paris;;;;—;—;—;;;;
139;osm_n7450348314;Traiteur Asiatique;;https://www.google.com/maps/search/Traiteur+Asiatique;;;;—;—;—;;;;
140;osm_n7450348315;La Voie lactée;3 Rue des Écoles, 75005 Paris;https://www.google.com/maps/search/La+Voie+lact%C3%A9e+3+Rue+des+%C3%89coles%2C+75005+Paris;;;;—;—;—;;;;
141;osm_n5225343321;Hanami Ramen;4 Rue des Fossés Saint-Jacques, 75005;https://www.google.com/maps/search/Hanami+Ramen+4+Rue+des+Foss%C3%A9s+Saint-Jacques%2C+75005;;;;—;—;—;;;;
142;osm_n8999742321;Phô5;31 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/Ph%C3%B45+31+Rue+St+Jacques%2C+75005+Paris;;;;—;—;—;;;;
143;osm_n4751246322;Sésame;;https://www.google.com/maps/search/S%C3%A9same;;;;—;—;—;;;;
144;osm_n8999742322;Saigona;25 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/Saigona+25+Rue+St+Jacques%2C+75005+Paris;;;;—;—;—;;;;
145;osm_n8999742323;April;;https://www.google.com/maps/search/April;;;;—;—;—;;;;
146;osm_n8999742324;Piment thaï;;https://www.google.com/maps/search/Piment+tha%C3%AF;;;;—;—;—;;;;
147;osm_w618750324;La Nouvelle Seine;3 Quai de Montebello, 75005 Paris;https://www.google.com/maps/search/La+Nouvelle+Seine+3+Quai+de+Montebello%2C+75005+Paris;;;;—;—;—;;;;
148;osm_n9755996325;BigBang;;https://www.google.com/maps/search/BigBang;;;;—;—;—;;;;
149;osm_n9675535336;Asia Room;16 Rue des Écoles, 75005 Paris;https://www.google.com/maps/search/Asia+Room+16+Rue+des+%C3%89coles%2C+75005+Paris;;;;—;—;—;;;;
150;osm_n6188270337;Toranj;1 Pl. Alphonse Laveran, 75005 Paris;https://www.google.com/maps/search/Toranj+1+Pl.+Alphonse+Laveran%2C+75005+Paris;;;;—;—;—;;;;
