rang;id;nom;adresse;lien;annotateur_1;etiquette_1;confiance_1;annotateur_2;etiquette_2;confiance_2;arbitrage;presse_locale;guide_touristique;remarque
97;osm_n622303213;Maison Cluny;3 Rue de Cluny, 75005 Paris;https://www.google.com/maps/search/Maison+Cluny+3+Rue+de+Cluny%2C+75005+Paris;;;;—;—;—;;;;
98;osm_n622303216;El Sol y la Luna;31 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/El+Sol+y+la+Luna+31+Rue+St+Jacques%2C+75005+Paris;;;;—;—;—;;;;
99;osm_n4788616221;5 Séverin;5 Rue Saint-Séverin, 75005 Paris;https://www.google.com/maps/search/5+S%C3%A9verin+5+Rue+Saint-S%C3%A9verin%2C+75005+Paris;;;;—;—;—;;;;
100;osm_n10807924222;Rivières d'Himalaya;61 Rue Claude Bernard, 75005 Paris;https://www.google.com/maps/search/Rivi%C3%A8res+d%27Himalaya+61+Rue+Claude+Bernard%2C+75005+Paris;;;;—;—;—;;;;
101;osm_n4040156222;An An;185 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/An+An+185+Rue+St+Jacques%2C+75005+Paris;;;;—;—;—;;;;
102;osm_n1930542223;La Sirena;Bd Saint-Germain 73, 75005 Paris;https://www.google.com/maps/search/La+Sirena+Bd+Saint-Germain+73%2C+75005+Paris;;;;—;—;—;;;;
103;osm_n4040156223;Sabraj;175 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/Sabraj+175+Rue+St+Jacques%2C+75005+Paris;;;;—;—;—;;;;
104;osm_n4936562224;Cucina Mutualité;20 Rue Saint-Victor, 75005 Paris;https://www.google.com/maps/search/Cucina+Mutualit%C3%A9+20+Rue+Saint-Victor%2C+75005+Paris;;;;—;—;—;;;;
105;osm_n2910108225;La Fourmi Ailée;8 Rue du Fouarre, 75005 Paris;https://www.google.com/maps/search/La+Fourmi+Ail%C3%A9e+8+Rue+du+Fouarre%2C+75005+Paris;;;;—;—;—;;;;
106;osm_n3734865225;Le Clou de Paris;1 Rue Danton, 75006 Paris;https://www.google.com/maps/search/Le+Clou+de+Paris+1+Rue+Danton%2C+75006+Paris;;;;—;—;—;;;;
